ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
151121,'The Voice' 2014 elimination recap: Top 10 revealed after America's 1st vote,http://www.nj.com/entertainment/tv/index.ssf/2014/04/the_voice_2014_elimination_recap_top_10_revealed_after_americas_1st_vote.html,The Star-Ledger,e,d0BmNSwRLNtFvSM_IqQj_RWOxCjwM,www.nj.com,1398228681013
211000,Transformers Age of Extinction Photos: Optimus Prime & Bumblebee Get an  ...,http://www.moviefanatic.com/2014/05/transformers-age-of-extinction-photos-optimus-prime-and-bumblebe/,Movie Fanatic,e,d0bjaekeO4jWu-MkfDDmQ2E4Em_JM,www.moviefanatic.com,1399986792122
213858,'Largest dinosaur',http://www.gulf-daily-news.com/NewsDetails.aspx\?storyid=377307,Gulf Daily News,t,dD29MnGWnRlNghMobApIdrqF9RFLM,www.gulf-daily-news.com,1400386823567
20303,Review questions the effects of dietary fats on heart disease,http://www.jamestownsun.com/content/review-questions-effects-dietary-fats-heart-disease,Jamestown Sun,m,dCyB4k1dt-nTeKMd97jX9Bl8Da0UM,www.jamestownsun.com,1395168458522
144310,Captain America Tops Easter Weekend Box Office,http://www.vulture.com/2014/04/captain-america-tops-easter-box-office.html,Vulture,e,doEnu8fR7PjyEfMFiIjTAlE34XjLM,www.vulture.com,1398060951090
212130,Dingy Harry Blames GOP for Abramson Firing,http://www.rushlimbaugh.com/daily/2014/05/16/dingy_harry_blames_gop_for_abramson_firing,RushLimbaugh.com \(subscription\),b,du8IiUdSFpfToYMZjDU1_k4B2pMNM,www.rushlimbaugh.com,1400371366197
155074,HBO Renews 'Veep' - The Most Underrated Comedy on TV?,http://www.contactmusic.com/article/veep-season-4-hbo-renewed_4163553,Contactmusic.com,e,d4GjXtl7P-CyRvMoNoA_ZR8NugCMM,www.contactmusic.com,1398288529056
329150,'Transformers: Age of Extinction' review,http://www.theverge.com/2014/6/27/5843768/transformers-age-of-extinction-review,The Verge,e,d79g5WRHWWIWfUM2SBHH6Ytl7qvKM,www.theverge.com,1403938075207
207725,Rare mono mono identical twins born holding hands,http://descrier.co.uk/oddities/rare-mono-mono-identical-twins-born-holding-hands/,Descrier,m,dDEzS0-dyqWSQCMyJ7ydMuYH4zufM,descrier.co.uk,1399928710268
138955,Remedy Church of Lodi to hold outdoor community Easter service,http://www.recordnet.com/apps/pbcs.dll/article\?AID=/20140416/A_NEWS/140419886/-1/NEWSMAP,Stockton Record,e,dUSbxUWqh3ccXkM2gNPRbauWLJ72M,www.recordnet.com,1397900151755
18870,Kate Winslet Finally Reveals Meaning of Baby's Unusual Name (VIDEO)​,http://thestir.cafemom.com/baby/169844/kate_winslet_finally_reveals_meaning,The Stir,e,dFGrbAjymW6Wo6MygClAit3scP1NM,thestir.cafemom.com,1395164600082
140891,'Orphan Black': Tatiana Maslany Talks Season 2 — Interview,http://hollywoodlife.com/2014/04/19/orphan-black-season-2-premiere-tatiana-maslany-interview/,Hollywood Life,e,d3dF4pE9zKMrCTMRkYGVArV1VefEM,hollywoodlife.com,1397954129598
313294,"Teenage Mutant Ninja Turtles Latest Trailer Is Here, Take A Look At The English  ...",http://www.comicbookmovie.com/news/\?a=102463,Comic Book Movie,e,dCHk_KGbLopHziME562ZXs2Z5i51M,www.comicbookmovie.com,1403649425081
101587,Dismal Week for US Stocks,http://time.com/60035/stocks-down-nearly-3-percent/,TIME,b,df5fKCUy67JAVNMUknwR6CY-Er6XM,time.com,1397290214085
147645,Art Dealer Wanted for Fraud in US Arrested in Spain,http://www.claimsjournal.com/news/international/2014/04/21/247682.htm,ClaimsJournal.com,e,dgC5f1bGFQNcuKMTA-UEVSSkvke9M,www.claimsjournal.com,1398166184279
192991,Samsung swaps out mobile design head — but don't expect any radical changes  ...,http://venturebeat.com/2014/05/08/samsung-swaps-out-mobile-design-head-but-dont-expect-any-radical-changes-soon/,VentureBeat,t,d1bKoXOZNtIQvpMwup3Y5fp1Uf3pM,venturebeat.com,1399564069104
131068,Robin Williams' Mrs. Doubtfire headed back to the big screen,http://www.jrn.com/tmj4/now-trending/Mrs-Doubtfire-sequel-finally-in-the-works-255639311.html,\(multiple names\),e,dGM-S-ZGvVDlPIMZxyKdazcHt9f6M,www.jrn.com,1397777894129
295246,Box buys Streem to make the cloud part of your desktop,http://www.citeworld.com/article/2363982/social-collaboration/box-buys-streem.html,CITEworld,t,dXCigl3ohCtKMzMgk2VHO42XsGnJM,www.citeworld.com,1403010141756
57534,Android 4.4 KitKat Update For LG G2 Continues,http://au.ibtimes.com/articles/545251/20140327/android-4-kitkat-update-lg-g2-continues.htm,International Business Times AU,t,dHeJRYnNRO3cEJMutoC-lNGAHPrlM,au.ibtimes.com,1396015916879
281824,Missouri firm recalls beef for 'remote' mad cow risk,http://www.mansfieldnewsjournal.com/usatoday/article/10415299,Mansfield News Journal,m,d3K-_EDTSHzhI1M8NeC9ldIaiFPyM,www.mansfieldnewsjournal.com,1402693176003
